float,row_key,quantity,value_script,source
figure_1,Age | 18-39 | Full adjustment set,ci_lower,-0.0030311152022682187,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,ci_upper,0.0018125117648130004,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,df,1378983,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,estimate,-6.09301718727609e-4,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,p_value,0.6219378538459543,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,se,0.001235640744913106,figure_1.R
figure_1,Age | 18-39 | Full adjustment set,t,-0.4931058814918385,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,ci_lower,-0.0032895990128828634,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,ci_upper,0.0015906093058932667,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,df,1379012,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,estimate,-8.494948534947984e-4,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,p_value,0.4950240724803373,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,se,0.0012449728856986655,figure_1.R
figure_1,Age | 18-39 | PAP adjustment set,t,-0.6823400439103307,figure_1.R
figure_1,Age | 18-39 | Unadjusted,ci_lower,-0.0031146360611196315,figure_1.R
figure_1,Age | 18-39 | Unadjusted,ci_upper,0.0022785989738410154,figure_1.R
figure_1,Age | 18-39 | Unadjusted,df,1379015,figure_1.R
figure_1,Age | 18-39 | Unadjusted,estimate,-4.180185436393082e-4,figure_1.R
figure_1,Age | 18-39 | Unadjusted,p_value,0.7612606457290955,figure_1.R
figure_1,Age | 18-39 | Unadjusted,se,0.0013758493380099767,figure_1.R
figure_1,Age | 18-39 | Unadjusted,t,-0.30382581296577765,figure_1.R
figure_1,Age | 40+ | Full adjustment set,ci_lower,-0.0055255542279292425,figure_1.R
figure_1,Age | 40+ | Full adjustment set,ci_upper,0.005204333131298418,figure_1.R
figure_1,Age | 40+ | Full adjustment set,df,620243,figure_1.R
figure_1,Age | 40+ | Full adjustment set,estimate,-1.6061054831541244e-4,figure_1.R
figure_1,Age | 40+ | Full adjustment set,p_value,0.9532104811828611,figure_1.R
figure_1,Age | 40+ | Full adjustment set,se,0.002737261119380888,figure_1.R
figure_1,Age | 40+ | Full adjustment set,t,-0.05867564010544205,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,ci_lower,-0.005838517794936107,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,ci_upper,0.0049459024969891715,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,df,620260,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,estimate,-4.46307648973468e-4,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,p_value,0.871129115566306,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,se,0.002751172810434149,figure_1.R
figure_1,Age | 40+ | PAP adjustment set,t,-0.16222450559295779,figure_1.R
figure_1,Age | 40+ | Unadjusted,ci_lower,-0.00574440358249152,figure_1.R
figure_1,Age | 40+ | Unadjusted,ci_upper,0.006697496402014779,figure_1.R
figure_1,Age | 40+ | Unadjusted,df,620263,figure_1.R
figure_1,Age | 40+ | Unadjusted,estimate,4.765464097616298e-4,figure_1.R
figure_1,Age | 40+ | Unadjusted,p_value,0.8806539331791897,figure_1.R
figure_1,Age | 40+ | Unadjusted,se,0.0031740062072197865,figure_1.R
figure_1,Age | 40+ | Unadjusted,t,0.15014035217626498,figure_1.R
figure_1,ATE | ATE | Full adjustment set,ci_lower,-0.0028874729977100763,figure_1.R
figure_1,ATE | ATE | Full adjustment set,ci_upper,0.0018357980933957326,figure_1.R
figure_1,ATE | ATE | Full adjustment set,df,1999248,figure_1.R
figure_1,ATE | ATE | Full adjustment set,estimate,-5.258374521571718e-4,figure_1.R
figure_1,ATE | ATE | Full adjustment set,p_value,0.6625449458816951,figure_1.R
figure_1,ATE | ATE | Full adjustment set,se,0.0012049375062110552,figure_1.R
figure_1,ATE | ATE | Full adjustment set,t,-0.4364022610688548,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,ci_lower,-0.0030175166252996498,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,ci_upper,0.0017429781515105216,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,df,1999277,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,estimate,-6.37269236894564e-4,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,p_value,0.5997597710163942,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,se,0.0012144335131540889,figure_1.R
figure_1,ATE | ATE | PAP adjustment set,t,-0.52474608942524,figure_1.R
figure_1,ATE | ATE | Unadjusted,ci_lower,-0.0029729725868447732,figure_1.R
figure_1,ATE | ATE | Unadjusted,ci_upper,0.002423368095661742,figure_1.R
figure_1,ATE | ATE | Unadjusted,df,1999280,figure_1.R
figure_1,ATE | ATE | Unadjusted,estimate,-2.7480224559151565e-4,figure_1.R
figure_1,ATE | ATE | Unadjusted,p_value,0.841779525077393,figure_1.R
figure_1,ATE | ATE | Unadjusted,se,0.001376641983762437,figure_1.R
figure_1,ATE | ATE | Unadjusted,t,-0.19961780102076085,figure_1.R
figure_1,Gender | Female | Full adjustment set,ci_lower,-0.004300212924037203,figure_1.R
figure_1,Gender | Female | Full adjustment set,ci_upper,0.0018628266903727541,figure_1.R
figure_1,Gender | Female | Full adjustment set,df,978016,figure_1.R
figure_1,Gender | Female | Full adjustment set,estimate,-0.0012186931168322245,figure_1.R
figure_1,Gender | Female | Full adjustment set,p_value,0.43825936651763275,figure_1.R
figure_1,Gender | Female | Full adjustment set,se,0.0015722309276653284,figure_1.R
figure_1,Gender | Female | Full adjustment set,t,-0.7751362063853514,figure_1.R
figure_1,Gender | Female | PAP adjustment set,ci_lower,-0.004391351789210341,figure_1.R
figure_1,Gender | Female | PAP adjustment set,ci_upper,0.0018187436274776294,figure_1.R
figure_1,Gender | Female | PAP adjustment set,df,978036,figure_1.R
figure_1,Gender | Female | PAP adjustment set,estimate,-0.0012863040808663558,figure_1.R
figure_1,Gender | Female | PAP adjustment set,p_value,0.41682619265001264,figure_1.R
figure_1,Gender | Female | PAP adjustment set,se,0.0015842351646236155,figure_1.R
figure_1,Gender | Female | PAP adjustment set,t,-0.811940114441253,figure_1.R
figure_1,Gender | Female | Unadjusted,ci_lower,-0.004923463489000433,figure_1.R
figure_1,Gender | Female | Unadjusted,ci_upper,0.0020157747010701907,figure_1.R
figure_1,Gender | Female | Unadjusted,df,978039,figure_1.R
figure_1,Gender | Female | Unadjusted,estimate,-0.0014538443939651215,figure_1.R
figure_1,Gender | Female | Unadjusted,p_value,0.41149398813142335,figure_1.R
figure_1,Gender | Female | Unadjusted,se,0.0017702441619349301,figure_1.R
figure_1,Gender | Female | Unadjusted,t,-0.8212677240952039,figure_1.R
figure_1,Gender | Other | Full adjustment set,ci_lower,-0.0035122480567688803,figure_1.R
figure_1,Gender | Other | Full adjustment set,ci_upper,0.0036033114868520297,figure_1.R
figure_1,Gender | Other | Full adjustment set,df,1021216,figure_1.R
figure_1,Gender | Other | Full adjustment set,estimate,4.5531715041574495e-5,figure_1.R
figure_1,Gender | Other | Full adjustment set,p_value,0.9799885771148082,figure_1.R
figure_1,Gender | Other | Full adjustment set,se,0.0018152249649102193,figure_1.R
figure_1,Gender | Other | Full adjustment set,t,0.02508323536847483,figure_1.R
figure_1,Gender | Other | PAP adjustment set,ci_lower,-0.0035930374771140344,figure_1.R
figure_1,Gender | Other | PAP adjustment set,ci_upper,0.0035739051646067393,figure_1.R
figure_1,Gender | Other | PAP adjustment set,df,1021236,figure_1.R
figure_1,Gender | Other | PAP adjustment set,estimate,-9.566156253647677e-6,figure_1.R
figure_1,Gender | Other | PAP adjustment set,p_value,0.9958253495549038,figure_1.R
figure_1,Gender | Other | PAP adjustment set,se,0.0018283331234711148,figure_1.R
figure_1,Gender | Other | PAP adjustment set,t,-0.005232173574302588,figure_1.R
figure_1,Gender | Other | Unadjusted,ci_lower,-0.003245332631010376,figure_1.R
figure_1,Gender | Other | Unadjusted,ci_upper,0.004954061994779246,figure_1.R
figure_1,Gender | Other | Unadjusted,df,1021239,figure_1.R
figure_1,Gender | Other | Unadjusted,estimate,8.543646818844351e-4,figure_1.R
figure_1,Gender | Other | Unadjusted,p_value,0.6829425894638255,figure_1.R
figure_1,Gender | Other | Unadjusted,se,0.002091718259265297,figure_1.R
figure_1,Gender | Other | Unadjusted,t,0.40845112772717557,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,ci_lower,-0.00368810728150527,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,ci_upper,0.0022168653396163794,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,df,1337023,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,estimate,-7.356209709444453e-4,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,p_value,0.6253151700182238,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,se,0.0015063968833392092,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Full adjustment set,t,-0.48833144776149856,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_lower,-0.0038085619990741613,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_upper,0.0021561770061779744,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,df,1337052,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,estimate,-8.261924964480934e-4,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,p_value,0.5871570511111944,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,se,0.001521643676294185,figure_1.R
figure_1,Margin | Vote margin less than 3pp | PAP adjustment set,t,-0.5429605559563095,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,ci_lower,-0.0035142586014676033,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,ci_upper,0.0032610710872742407,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,df,1337055,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,estimate,-1.2659375709668129e-4,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,p_value,0.9416135369601216,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,se,0.0017284306264909938,figure_1.R
figure_1,Margin | Vote margin less than 3pp | Unadjusted,t,-0.07324202380843482,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,ci_lower,-0.0039430216581455586,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,ci_upper,0.003866066717168507,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,df,662191,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,estimate,-3.847747048852571e-5,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,p_value,0.984590166290181,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,se,0.0019921473464100106,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Full adjustment set,t,-0.019314570560187132,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,ci_lower,-0.004110746601059213,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,ci_upper,0.0037269713234954357,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,df,662220,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,estimate,-1.9188763878188873e-4,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,p_value,0.9235442956094855,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,se,0.0019994509238645364,figure_1.R
figure_1,Margin | Vote margin more than 3pp | PAP adjustment set,t,-0.09597016685511267,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Unadjusted,ci_lower,-0.005079840857617591,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Unadjusted,ci_upper,0.003693221117082879,figure_1.R
figure_1,Margin | Vote margin more than 3pp | Unadjusted,df,662223,figure_1.R
