float,row_key,quantity,value_paper,digits
supplementary_table_1,Age | 18-39 | Full adjustment set,ci_lower,-0.003,3
supplementary_table_1,Age | 18-39 | Full adjustment set,ci_upper,0.002,3
supplementary_table_1,Age | 18-39 | Full adjustment set,df,1378983,0
supplementary_table_1,Age | 18-39 | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Age | 18-39 | Full adjustment set,p_value,0.622,3
supplementary_table_1,Age | 18-39 | Full adjustment set,se,0.001,3
supplementary_table_1,Age | 18-39 | Full adjustment set,t,-0.493,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,ci_lower,-0.003,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,ci_upper,0.002,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,df,1379012,0
supplementary_table_1,Age | 18-39 | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,p_value,0.495,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,se,0.001,3
supplementary_table_1,Age | 18-39 | PAP adjustment set,t,-0.682,3
supplementary_table_1,Age | 18-39 | Unadjusted,ci_lower,-0.003,3
supplementary_table_1,Age | 18-39 | Unadjusted,ci_upper,0.002,3
supplementary_table_1,Age | 18-39 | Unadjusted,df,1379015,0
supplementary_table_1,Age | 18-39 | Unadjusted,estimate,0.000,3
supplementary_table_1,Age | 18-39 | Unadjusted,p_value,0.761,3
supplementary_table_1,Age | 18-39 | Unadjusted,se,0.001,3
supplementary_table_1,Age | 18-39 | Unadjusted,t,-0.304,3
supplementary_table_1,Age | 40+ | Full adjustment set,ci_lower,-0.006,3
supplementary_table_1,Age | 40+ | Full adjustment set,ci_upper,0.005,3
supplementary_table_1,Age | 40+ | Full adjustment set,df,620243,0
supplementary_table_1,Age | 40+ | Full adjustment set,estimate,0.000,3
supplementary_table_1,Age | 40+ | Full adjustment set,p_value,0.953,3
supplementary_table_1,Age | 40+ | Full adjustment set,se,0.003,3
supplementary_table_1,Age | 40+ | Full adjustment set,t,-0.059,3
supplementary_table_1,Age | 40+ | PAP adjustment set,ci_lower,-0.006,3
supplementary_table_1,Age | 40+ | PAP adjustment set,ci_upper,0.005,3
supplementary_table_1,Age | 40+ | PAP adjustment set,df,620260,0
supplementary_table_1,Age | 40+ | PAP adjustment set,estimate,0.000,3
supplementary_table_1,Age | 40+ | PAP adjustment set,p_value,0.871,3
supplementary_table_1,Age | 40+ | PAP adjustment set,se,0.003,3
supplementary_table_1,Age | 40+ | PAP adjustment set,t,-0.162,3
supplementary_table_1,Age | 40+ | Unadjusted,ci_lower,-0.006,3
supplementary_table_1,Age | 40+ | Unadjusted,ci_upper,0.007,3
supplementary_table_1,Age | 40+ | Unadjusted,df,620263,0
supplementary_table_1,Age | 40+ | Unadjusted,estimate,0.000,3
supplementary_table_1,Age | 40+ | Unadjusted,p_value,0.881,3
supplementary_table_1,Age | 40+ | Unadjusted,se,0.003,3
supplementary_table_1,Age | 40+ | Unadjusted,t,0.150,3
supplementary_table_1,ATE | ATE | Full adjustment set,ci_lower,-0.003,3
supplementary_table_1,ATE | ATE | Full adjustment set,ci_upper,0.002,3
supplementary_table_1,ATE | ATE | Full adjustment set,df,1999248,0
supplementary_table_1,ATE | ATE | Full adjustment set,estimate,-0.001,3
supplementary_table_1,ATE | ATE | Full adjustment set,p_value,0.663,3
supplementary_table_1,ATE | ATE | Full adjustment set,se,0.001,3
supplementary_table_1,ATE | ATE | Full adjustment set,t,-0.436,3
supplementary_table_1,ATE | ATE | PAP adjustment set,ci_lower,-0.003,3
supplementary_table_1,ATE | ATE | PAP adjustment set,ci_upper,0.002,3
supplementary_table_1,ATE | ATE | PAP adjustment set,df,1999277,0
supplementary_table_1,ATE | ATE | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,ATE | ATE | PAP adjustment set,p_value,0.600,3
supplementary_table_1,ATE | ATE | PAP adjustment set,se,0.001,3
supplementary_table_1,ATE | ATE | PAP adjustment set,t,-0.525,3
supplementary_table_1,ATE | ATE | Unadjusted,ci_lower,-0.003,3
supplementary_table_1,ATE | ATE | Unadjusted,ci_upper,0.002,3
supplementary_table_1,ATE | ATE | Unadjusted,df,1999280,0
supplementary_table_1,ATE | ATE | Unadjusted,estimate,0.000,3
supplementary_table_1,ATE | ATE | Unadjusted,p_value,0.842,3
supplementary_table_1,ATE | ATE | Unadjusted,se,0.001,3
supplementary_table_1,ATE | ATE | Unadjusted,t,-0.200,3
supplementary_table_1,Gender | Female | Full adjustment set,ci_lower,-0.004,3
supplementary_table_1,Gender | Female | Full adjustment set,ci_upper,0.002,3
supplementary_table_1,Gender | Female | Full adjustment set,df,978016,0
supplementary_table_1,Gender | Female | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Gender | Female | Full adjustment set,p_value,0.438,3
supplementary_table_1,Gender | Female | Full adjustment set,se,0.002,3
supplementary_table_1,Gender | Female | Full adjustment set,t,-0.775,3
supplementary_table_1,Gender | Female | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Gender | Female | PAP adjustment set,ci_upper,0.002,3
supplementary_table_1,Gender | Female | PAP adjustment set,df,978036,0
supplementary_table_1,Gender | Female | PAP adjustment set,estimate,-0.001,3
supplementary_table_1,Gender | Female | PAP adjustment set,p_value,0.417,3
supplementary_table_1,Gender | Female | PAP adjustment set,se,0.002,3
supplementary_table_1,Gender | Female | PAP adjustment set,t,-0.812,3
supplementary_table_1,Gender | Female | Unadjusted,ci_lower,-0.005,3
supplementary_table_1,Gender | Female | Unadjusted,ci_upper,0.002,3
supplementary_table_1,Gender | Female | Unadjusted,df,978039,0
supplementary_table_1,Gender | Female | Unadjusted,estimate,-0.001,3
supplementary_table_1,Gender | Female | Unadjusted,p_value,0.411,3
supplementary_table_1,Gender | Female | Unadjusted,se,0.002,3
supplementary_table_1,Gender | Female | Unadjusted,t,-0.821,3
supplementary_table_1,Gender | Other | Full adjustment set,ci_lower,-0.004,3
supplementary_table_1,Gender | Other | Full adjustment set,ci_upper,0.004,3
supplementary_table_1,Gender | Other | Full adjustment set,df,1021216,0
supplementary_table_1,Gender | Other | Full adjustment set,estimate,0.000,3
supplementary_table_1,Gender | Other | Full adjustment set,p_value,0.980,3
supplementary_table_1,Gender | Other | Full adjustment set,se,0.002,3
supplementary_table_1,Gender | Other | Full adjustment set,t,0.025,3
supplementary_table_1,Gender | Other | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Gender | Other | PAP adjustment set,ci_upper,0.004,3
supplementary_table_1,Gender | Other | PAP adjustment set,df,1021236,0
supplementary_table_1,Gender | Other | PAP adjustment set,estimate,0.000,3
supplementary_table_1,Gender | Other | PAP adjustment set,p_value,0.996,3
supplementary_table_1,Gender | Other | PAP adjustment set,se,0.002,3
supplementary_table_1,Gender | Other | PAP adjustment set,t,-0.005,3
supplementary_table_1,Gender | Other | Unadjusted,ci_lower,-0.003,3
supplementary_table_1,Gender | Other | Unadjusted,ci_upper,0.005,3
supplementary_table_1,Gender | Other | Unadjusted,df,1021239,0
supplementary_table_1,Gender | Other | Unadjusted,estimate,0.001,3
supplementary_table_1,Gender | Other | Unadjusted,p_value,0.683,3
supplementary_table_1,Gender | Other | Unadjusted,se,0.002,3
supplementary_table_1,Gender | Other | Unadjusted,t,0.408,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,ci_upper,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,df,1337023,0
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,estimate,-0.001,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,p_value,0.625,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,se,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | Full adjustment set,t,-0.488,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_lower,-0.004,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,ci_upper,0.002,3
supplementary_table_1,Margin | Vote margin less than 3pp | PAP adjustment set,df,1337052,0
