inquiry,outcome,estimator,estimate,std.error,df,statistic,p.value,conf.low,conf.high,entry
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,Unadjusted,-0.010423533568928644,0.0034720247246587915,1035574,-3.002148427947328,0.0026808782109555953,-0.01722858493634313,-0.003618482201514158,-0.010 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,PAP adjustment set,-0.010201149200033843,0.003394170683679991,1035571,-3.0054909286334603,0.00265158851980168,-0.016853609272754887,-0.003548689127312798,-0.010 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,Full adjustment set,-0.010593704561398565,0.0033619606758980695,1035542,-3.1510495162376353,0.001626895382252747,-0.01718303410535466,-0.004004375017442471,-0.011 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,Unadjusted,0.0029908040244627436,0.003531723982896092,1035574,0.8468396847961539,0.3970846807886016,-0.003931255875758575,0.009912863924684061,0.003 (0.004)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,PAP adjustment set,0.0031008588833839803,0.0033615115620292263,1035571,0.922459681058512,0.3562890667330345,-0.0034875904123197196,0.00968930817908768,0.003 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,Full adjustment set,0.002963416488834973,0.003329973839870501,1035542,0.889921852644409,0.37350805586965363,-0.0035632199352505756,0.009490052912920521,0.003 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,Unadjusted,-0.007432729544521541,0.0038455498826569646,1035574,-1.9328131922153418,0.05325948692562464,-0.01496987762459667,1.0441853555358954e-4,-0.007 (0.004)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,PAP adjustment set,-0.0071002903166470736,0.003392066673504719,1035571,-2.093204821741012,0.03633111716597517,-0.013748626600381638,-4.519540329125087e-4,-0.007 (0.003)
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,Full adjustment set,-0.007630288072566314,0.0033649143498286835,1035542,-2.267602464518834,0.02335365246636143,-0.014225406717814918,-0.0010351694273177106,-0.008 (0.003)
Treatment*TSS interaction term from linear model,Voted early in 2020,Unadjusted,-0.02783208455295427,0.010604915253704423,1999278,-2.62445138759899,0.008678934040307031,-0.04861734909273216,-0.007046820013176379,-0.028 (0.011)
Treatment*TSS interaction term from linear model,Voted early in 2020,PAP adjustment set,-0.02809148416635808,0.010356557258800629,1999276,-2.7124345923436044,0.006679153252801301,-0.04838997568617143,-0.0077929926465447365,-0.028 (0.010)
Treatment*TSS interaction term from linear model,Voted early in 2020,Full adjustment set,-0.02914144871270563,0.01026035859205993,1999247,-2.840197879171299,0.0045086012347281814,-0.049251394196376974,-0.009031503229034288,-0.029 (0.010)
Treatment*TSS interaction term from linear model,Voted in person in 2020,Unadjusted,0.009702372763006022,0.010820420752816398,1999278,0.8966724108654125,0.36989385449688983,-0.011505275049212881,0.030910020575224927,0.010 (0.011)
Treatment*TSS interaction term from linear model,Voted in person in 2020,PAP adjustment set,0.009186711701981152,0.01030458563116146,1999276,0.89151684801378,0.3726520643740401,-0.011009917237773734,0.02938334064173604,0.009 (0.010)
Treatment*TSS interaction term from linear model,Voted in person in 2020,Full adjustment set,0.009255034416013103,0.010209158155028219,1999247,0.9065423686726618,0.3646489592072477,-0.010754559994329805,0.029264628826356012,0.009 (0.010)
Treatment*TSS interaction term from linear model,Voted in 2020,Unadjusted,-0.018129711789731575,0.01175986705845829,1999278,-1.541659586763081,0.12315649568731644,-0.041178641641131594,0.004919218061668441,-0.018 (0.012)
Treatment*TSS interaction term from linear model,Voted in 2020,PAP adjustment set,-0.018904772464338946,0.01035531567110764,1999276,-1.8256104463415963,0.067909110246518,-0.03920083051551716,0.0013912855868392672,-0.019 (0.010)
Treatment*TSS interaction term from linear model,Voted in 2020,Full adjustment set,-0.01988641429655475,0.010278049748994482,1999247,-1.9348431640448394,0.05300968535544017,-0.04003103383165469,2.58205238545188e-4,-0.020 (0.010)
