outcome,outcome_label,condition,tss_round,estimate,std.error,conf.low,conf.high,conf.high.clipped,df
voted_early_2020,Voted early,control,30,0.29135383824810374,0.008759362595430406,0.2741816692821628,0.30852600721404466,0.30852600721404466,5028
voted_early_2020,Voted early,control,31,0.2819062317752618,0.006931775909757535,0.26831803118885417,0.29549443236166945,0.29549443236166945,7581
voted_early_2020,Voted early,control,32,0.3012216377829784,0.006615958563302055,0.28825292526489193,0.31419035030106485,0.31419035030106485,9388
voted_early_2020,Voted early,control,33,0.2970967438834441,0.007520978545686318,0.2823534590046655,0.31184002876222267,0.31184002876222267,7320
voted_early_2020,Voted early,control,34,0.28383385206322925,0.006545172203402485,0.27100383322566607,0.29666387090079244,0.29666387090079244,9044
voted_early_2020,Voted early,control,35,0.28851101654474237,0.007216628277540079,0.2743643310853596,0.3026577020041251,0.3026577020041251,7274
voted_early_2020,Voted early,control,36,0.28126965006362575,0.006668601235389779,0.26819763264836455,0.29434166747888696,0.29434166747888696,8794
voted_early_2020,Voted early,control,37,0.2942125921648732,0.007454373547826998,0.27959976432241407,0.3088254200073324,0.3088254200073324,7007
voted_early_2020,Voted early,control,38,0.2969921277046715,0.006825983504343065,0.2836115565476368,0.31037269886170615,0.31037269886170615,8572
voted_early_2020,Voted early,control,39,0.2791688369118309,0.007486219688973451,0.2644935315647864,0.29384414225887545,0.29384414225887545,6873
voted_early_2020,Voted early,control,40,0.28243457086828827,0.006874203313221444,0.2689594210514943,0.29590972068508226,0.29590972068508226,8326
voted_early_2020,Voted early,control,41,0.30513294020641946,0.008093160227383805,0.289267686558926,0.3209981938539129,0.3209981938539129,6507
voted_early_2020,Voted early,control,42,0.2806699345466034,0.0068492494462310165,0.2672436480358241,0.29409622105738265,0.29409622105738265,8108
voted_early_2020,Voted early,control,43,0.28551371319344426,0.007673869651892901,0.2704705155854427,0.3005569108014458,0.3005569108014458,6770
voted_early_2020,Voted early,control,44,0.2822852303583876,0.007107705675158228,0.26835227391464606,0.29621818680212914,0.29621818680212914,7995
voted_early_2020,Voted early,control,45,0.27901007702544306,0.007694368215678784,0.2639265610963515,0.29409359295453463,0.29409359295453463,6448
voted_early_2020,Voted early,control,46,0.2791628076589459,0.007189525056267913,0.2650693426002035,0.29325627271768834,0.29325627271768834,7565
voted_early_2020,Voted early,control,47,0.2751590695539767,0.007944074575865757,0.259585957015378,0.29073218209257534,0.29073218209257534,6257
voted_early_2020,Voted early,control,48,0.28805240346959493,0.007289258927702063,0.2737634440621149,0.30234136287707497,0.30234136287707497,7604
voted_early_2020,Voted early,control,49,0.2801263751098218,0.008195848291134006,0.2640596471398979,0.2961931030797457,0.2961931030797457,6153
voted_early_2020,Voted early,control,50,0.29234523256505,0.007450664542169918,0.2777398616166676,0.30695060351343245,0.30695060351343245,7565
voted_early_2020,Voted early,control,51,0.28267505117868125,0.0077237235490131536,0.26753391207530985,0.29781619028205264,0.29781619028205264,6278
voted_early_2020,Voted early,control,52,0.2702486646776246,0.0071613624271288185,0.25621038218078274,0.28428694717446645,0.28428694717446645,7485
voted_early_2020,Voted early,control,53,0.2748604816665218,0.008040939913993085,0.25909747542834755,0.2906234879046961,0.2906234879046961,6248
voted_early_2020,Voted early,control,54,0.28091174725469487,0.007526116883188101,0.26615837398692677,0.29566512052246297,0.29566512052246297,7273
voted_early_2020,Voted early,control,55,0.2772135513475428,0.007893340458526223,0.2617398033673959,0.29268729932768967,0.29268729932768967,6071
voted_early_2020,Voted early,control,56,0.2663539967175865,0.007359978686214788,0.251926341829682,0.28078165160549107,0.28078165160549107,7394
voted_early_2020,Voted early,control,57,0.29304511930273025,0.0086542186019114,0.2760797246843615,0.310010513921099,0.310010513921099,5973
voted_early_2020,Voted early,control,58,0.27830243069778604,0.007545506477113927,0.263511010391128,0.2930938510044441,0.2930938510044441,7163
voted_early_2020,Voted early,control,59,0.2661956941570157,0.008166981364808286,0.250185472975026,0.2822059153390054,0.2822059153390054,5996
voted_early_2020,Voted early,control,60,0.2778345354404502,0.0076405563885235585,0.26285683504861573,0.2928122358322847,0.2928122358322847,7295
voted_early_2020,Voted early,control,61,0.2805685688995368,0.008308305414058232,0.2642813877348211,0.29685575006425247,0.29685575006425247,6157
voted_early_2020,Voted early,control,62,0.2836875469035202,0.007615353991860553,0.2687592780346139,0.2986158157724265,0.2986158157724265,7377
voted_early_2020,Voted early,control,63,0.2833588596854872,0.00865610531109123,0.26638975488080824,0.30032796449016613,0.30032796449016613,5953
voted_early_2020,Voted early,control,64,0.2779985876009039,0.00753104106421439,0.2632356384204016,0.2927615367814062,0.2927615367814062,7508
voted_early_2020,Voted early,control,65,0.2694913326121067,0.008188775777664782,0.25343844336550186,0.2855442218587116,0.2855442218587116,6103
voted_early_2020,Voted early,control,66,0.2881064473473178,0.007766610177757991,0.27288167044100475,0.3033312242536308,0.3033312242536308,7369
voted_early_2020,Voted early,control,67,0.27282669147632665,0.008239288987926453,0.2566748281350133,0.28897855481764,0.28897855481764,6199
voted_early_2020,Voted early,control,68,0.28362889817989284,0.007652493139999602,0.26862787918922104,0.29862991717056464,0.29862991717056464,7540
voted_early_2020,Voted early,control,69,0.2691073968126488,0.008142590488663325,0.25314504078708544,0.2850697528382121,0.2850697528382121,6091
voted_early_2020,Voted early,control,70,0.27634914574070696,0.010302437060682009,0.2561506918136068,0.29654759966780714,0.29654759966780714,4042
voted_early_2020,Voted early,treat,30,0.29489867522651686,0.0027602953140676164,0.289488361205343,0.3003089892476907,0.3003089892476907,27911
voted_early_2020,Voted early,treat,31,0.30001507772993485,0.0022766943759665965,0.2955527084140125,0.3044774470458572,0.3044774470458572,41440
voted_early_2020,Voted early,treat,32,0.2952953323060914,0.0020718162153505405,0.29123454796613224,0.29935611664605055,0.29935611664605055,49559
voted_early_2020,Voted early,treat,33,0.2919495534947227,0.002284778898785667,0.28747133522386087,0.2964277717655845,0.2964277717655845,40475
voted_early_2020,Voted early,treat,34,0.29569557868738827,0.002090798654768455,0.29159758684057363,0.2997935705342029,0.2997935705342029,48731
voted_early_2020,Voted early,treat,35,0.29000306922354147,0.00230354465947994,0.2854880667900385,0.2945180716570444,0.2945180716570444,39639
voted_early_2020,Voted early,treat,36,0.2898072713130734,0.002091912140361998,0.2857070957315559,0.29390744689459086,0.29390744689459086,48122
voted_early_2020,Voted early,treat,37,0.2929863463467814,0.002321658426874769,0.2884358393879755,0.29753685330558727,0.29753685330558727,39325
voted_early_2020,Voted early,treat,38,0.2929315041862711,0.0021149535555425166,0.28878616545853725,0.297076842914005,0.297076842914005,47365
voted_early_2020,Voted early,treat,39,0.28135634783774044,0.0023193844661186735,0.2768102946236701,0.2859024010518108,0.2859024010518108,38426
voted_early_2020,Voted early,treat,40,0.28883178172278057,0.0021219505344047575,0.2846727271566393,0.2929908362889218,0.2929908362889218,46636
voted_early_2020,Voted early,treat,41,0.2908545609852292,0.0023526549540849387,0.2862432956160007,0.29546582635445773,0.29546582635445773,38126
voted_early_2020,Voted early,treat,42,0.2860811334198274,0.002120801088709414,0.28192433144783857,0.2902379353918162,0.2902379353918162,46491
voted_early_2020,Voted early,treat,43,0.28736891021328187,0.002365111677966123,0.28273322673022566,0.2920045936963381,0.2920045936963381,37462
voted_early_2020,Voted early,treat,44,0.2838718721032839,0.0021307781012716714,0.2796955135023564,0.2880482307042114,0.2880482307042114,45844
voted_early_2020,Voted early,treat,45,0.279137982345606,0.002354636060650156,0.2745228300617194,0.2837531346294926,0.2837531346294926,37139
voted_early_2020,Voted early,treat,46,0.2806826294804874,0.0021363915124095324,0.2764952671110334,0.2848699918499414,0.2848699918499414,45273
voted_early_2020,Voted early,treat,47,0.28522120642087756,0.0023854970827267242,0.2805455639602378,0.28989684888151734,0.28989684888151734,36726
voted_early_2020,Voted early,treat,48,0.28229772994695385,0.002151787726075469,0.2780801894031275,0.2865152704907802,0.2865152704907802,44740
voted_early_2020,Voted early,treat,49,0.2818225373077491,0.0023917488536245456,0.2771346393110655,0.28651043530443265,0.28651043530443265,36283
voted_early_2020,Voted early,treat,50,0.28450264660691127,0.0021550704602452645,0.28027867221743896,0.2887266209963836,0.2887266209963836,44885
voted_early_2020,Voted early,treat,51,0.2820488874360744,0.0023588124492062543,0.2774255499364819,0.28667222493566696,0.28667222493566696,37293
voted_early_2020,Voted early,treat,52,0.27650322878185063,0.002134294324499831,0.27231997616897485,0.2806864813947264,0.2806864813947264,44965
voted_early_2020,Voted early,treat,53,0.2823743765237276,0.002374411463405146,0.27772046251053994,0.28702829053691525,0.28702829053691525,36802
voted_early_2020,Voted early,treat,54,0.28186802548907025,0.002144255899505275,0.2776652484534931,0.2860708025246474,0.2860708025246474,45137
voted_early_2020,Voted early,treat,55,0.2752709634492157,0.0023559496803514705,0.27065323508900324,0.27988869180942816,0.27988869180942816,36810
voted_early_2020,Voted early,treat,56,0.2784972559562641,0.002131483510065151,0.27431951351687645,0.2826749983956518,0.2826749983956518,45340
voted_early_2020,Voted early,treat,57,0.2792234660722984,0.0023607962641888627,0.2745962390390216,0.28385069310557526,0.28385069310557526,36997
voted_early_2020,Voted early,treat,58,0.2770206863698877,0.002130229404054316,0.27284540179431244,0.28119597094546295,0.28119597094546295,45257
voted_early_2020,Voted early,treat,59,0.2744450265666698,0.0023392827066668815,0.26985996790543193,0.2790300852279077,0.2790300852279077,37294
voted_early_2020,Voted early,treat,60,0.2745269530787979,0.0021156850248737827,0.27038017657611424,0.2786737295814815,0.2786737295814815,45607
voted_early_2020,Voted early,treat,61,0.2762396612243067,0.0023377761812008856,0.271657556179942,0.28082176626867145,0.28082176626867145,37492
voted_early_2020,Voted early,treat,62,0.2735025994183562,0.0020862146537169992,0.2694135881984425,0.27759161063826987,0.27759161063826987,46852
voted_early_2020,Voted early,treat,63,0.27311282509758184,0.0022947276685204437,0.26861510073498873,0.27761054946017494,0.27761054946017494,38670
voted_early_2020,Voted early,treat,64,0.27035826246535394,0.0020556824913443273,0.2663290967666919,0.27438742816401596,0.27438742816401596,47787
voted_early_2020,Voted early,treat,65,0.26908818710126003,0.002248713242358525,0.26468065637551164,0.27349571782700843,0.27349571782700843,39883
voted_early_2020,Voted early,treat,66,0.27141125712860753,0.0020298601452092757,0.2674327065519489,0.27538980770526617,0.27538980770526617,49239
voted_early_2020,Voted early,treat,67,0.2697381833378547,0.0022421129221101084,0.2653435905319102,0.2741327761437992,0.2741327761437992,40226
voted_early_2020,Voted early,treat,68,0.26996275933568287,0.0020124748496515655,0.2660182855299944,0.27390723314137133,0.27390723314137133,49950
voted_early_2020,Voted early,treat,69,0.2719476451213433,0.0022091508352854593,0.26761766306870766,0.2762776271739789,0.2762776271739789,41601
voted_early_2020,Voted early,treat,70,0.27195308866925816,0.002707207954769221,0.2666468267699906,0.27725935056852574,0.27725935056852574,27706
voted_in_2020,Voted,control,30,0.539549853388012,0.009615208712321887,0.5206998529625341,0.5583998538134899,0.5583998538134899,5028
voted_in_2020,Voted,control,31,0.526071247535755,0.00790013810479989,0.5105847888524566,0.5415577062190533,0.5415577062190533,7581
voted_in_2020,Voted,control,32,0.5362745355867131,0.007111095304249751,0.5223352477560619,0.5502138234173644,0.5502138234173644,9388
voted_in_2020,Voted,control,33,0.5349557527439186,0.008071832590046433,0.5191326352272333,0.5507788702606039,0.5507788702606039,7320
voted_in_2020,Voted,control,34,0.5297083357097812,0.00734082320724732,0.51531866083106,0.5440980105885023,0.5440980105885023,9044
voted_in_2020,Voted,control,35,0.5320701900568614,0.0080337469536783,0.516321714890464,0.5478186652232588,0.5478186652232588,7274
voted_in_2020,Voted,control,36,0.5304912821339312,0.007387844637394911,0.5160093795051222,0.5449731847627401,0.5449731847627401,8794
voted_in_2020,Voted,control,37,0.5344518357368256,0.008318726021957273,0.5181446154925594,0.5507590559810919,0.5507590559810919,7007
voted_in_2020,Voted,control,38,0.5416649097935607,0.007391966583441179,0.5271748755300402,0.5561549440570813,0.5561549440570813,8572
voted_in_2020,Voted,control,39,0.5313252401827081,0.008388102265944029,0.5148819661205967,0.5477685142448195,0.5477685142448195,6873
voted_in_2020,Voted,control,40,0.5324476864651309,0.007653786429633747,0.51744435966409,0.5474510132661717,0.5474510132661717,8326
voted_in_2020,Voted,control,41,0.554337416017061,0.008574246138448406,0.5375290758877936,0.5711457561463283,0.5711457561463283,6507
voted_in_2020,Voted,control,42,0.5299390111886169,0.007643165803291781,0.5149564448899322,0.5449215774873015,0.5449215774873015,8108
voted_in_2020,Voted,control,43,0.5438029489442121,0.008530082903503577,0.5270813041221127,0.5605245937663115,0.5605245937663115,6770
voted_in_2020,Voted,control,44,0.5379081924845212,0.007835823347237954,0.5225479355482364,0.5532684494208059,0.5532684494208059,7995
voted_in_2020,Voted,control,45,0.5289933414140383,0.008723513703390182,0.5118923586933762,0.5460943241347004,0.5460943241347004,6448
