week,n_ads,spend_lb,spend_ub
2020-02-02,32554,5835200,10139746
2020-02-09,37765,4274500,8739935
2020-02-16,28824,6224400,10219476
2020-02-23,39105,5348100,10130495
2020-03-01,31038,6105100,10323462
2020-03-08,22957,2081000,4731243
2020-03-15,23237,2824600,5593763
2020-03-22,11055,3361500,5107345
2020-03-29,12851,3950100,5885749
2020-04-05,13239,3166200,5048061
2020-04-12,14891,4653000,6977309
2020-04-19,15605,3530700,5687695
2020-04-26,13194,4482100,6591306
2020-05-03,24673,3806400,6934927
2020-05-10,20156,4152700,6894344
2020-05-17,16791,5015500,7589709
2020-05-24,12426,4658700,6772474
2020-05-31,24274,9051100,13250726
2020-06-07,16500,4539800,6951900
2020-06-14,27105,6557100,10416795
2020-06-21,18581,6665900,9650719
2020-06-28,26937,5881400,9622763
2020-07-05,16751,5908100,8653649
2020-07-12,31353,6231100,10368547
2020-07-19,25901,8728000,12895799
2020-07-26,26966,7594700,11650434
2020-08-02,25247,12098000,16951753
2020-08-09,23525,13238200,18178575
2020-08-16,29859,13119500,18494641
2020-08-23,38349,14795300,21278351
2020-08-30,29807,12575400,17680694
2020-09-06,26299,7326300,11226101
2020-09-13,36052,13460000,19591948
2020-09-20,36972,18120700,25159528
2020-09-27,50290,17735000,26043010
2020-10-04,40493,17759100,25212707
2020-10-11,36795,18323200,25535905
2020-10-18,66018,23066100,34011282
2020-10-25,87441,19865200,32192659
2020-11-01,9133,1034600,2106167
