Gender,Race,Age (years),Control,Treatment,Ptreat,"2020 voting rate, control","2020 voting rate, treatment"
Female,Black,18-24,"4,508","7,605",0.628,48.0,46.4
Female,Black,25-34,"3,473","11,952",0.775,42.2,41.3
Female,Black,Other,"4,564","26,783",0.854,51.4,51.2
Female,Latinx,18-24,"4,831","9,741",0.668,52.2,51.7
Female,Latinx,25-34,"3,074","14,743",0.827,46.0,45.0
Female,Latinx,Other,"2,727","26,699",0.907,50.7,50.8
Female,Other,18-24,"60,999","139,081",0.695,66.0,66.2
Female,Other,25-34,"34,406","219,742",0.865,57.0,57.0
Female,Other,Other,"19,998","383,115",0.950,62.8,62.5
Other,Black,18-24,"14,004","25,313",0.644,36.9,36.9
Other,Black,25-34,"11,122","44,850",0.801,27.8,28.1
Other,Black,Other,"9,501","69,871",0.880,36.7,36.9
Other,Latinx,18-24,"11,145","23,709",0.680,39.3,39.2
Other,Latinx,25-34,"5,974","34,290",0.852,33.1,33.1
Other,Latinx,Other,"2,835","39,268",0.933,42.6,42.0
Other,Other,18-24,"60,726","151,473",0.714,57.9,57.8
Other,Other,25-34,"28,067","227,248",0.890,48.3,48.1
Other,Other,Other,"5,781","256,064",0.978,57.9,58.6
,,Total,"287,735","1,711,547",0.856,54.6,54.6
