row_label,gender,race,age,control_n,treatment_n,p_treat,voting_rate_control,voting_rate_treatment
Female Black 18-24,Female,Black,18-24,4508,7605,0.6278378601502518,0.4800354924578527,0.4635108481262327
Female Black 25-34,Female,Black,25-34,3473,11952,0.7748460291734198,0.4224013820904117,0.41315261044176704
Female Black Other,Female,Black,Other,4564,26783,0.8544039302006572,0.5144609991235758,0.512489265578912
Female Latinx 18-24,Female,Latinx,18-24,4831,9741,0.6684737853417513,0.5216311322707514,0.5165794066317626
Female Latinx 25-34,Female,Latinx,25-34,3074,14743,0.8274681483975977,0.45966167859466495,0.4501119175201791
Female Latinx Other,Female,Latinx,Other,2727,26699,0.9073268538027595,0.5067840117345068,0.5077343720738604
Female Other 18-24,Female,Other,18-24,60999,139081,0.6951269492203119,0.6602075443859735,0.6618301565274912
Female Other 25-34,Female,Other,25-34,34406,219742,0.8646221886459858,0.5698424693367435,0.5701595507458747
Female Other Other,Female,Other,Other,19998,383115,0.9503910814089349,0.6276127612761276,0.6246192396538899
Other Black 18-24,Other,Black,18-24,14004,25313,0.6438181956914312,0.368966009711511,0.368743333465018
Other Black 25-34,Other,Black,25-34,11122,44850,0.8012935038948046,0.278367200143859,0.2807134894091416
Other Black Other,Other,Black,Other,9501,69871,0.8802978380285239,0.36743500684138514,0.3692662191753374
Other Latinx 18-24,Other,Latinx,18-24,11145,23709,0.6802375624031675,0.3934499775684163,0.39234046142814966
Other Latinx 25-34,Other,Latinx,25-34,5974,34290,0.851629246969998,0.33093404753933714,0.3310877806940799
Other Latinx Other,Other,Latinx,Other,2835,39268,0.9326651307507778,0.42610229276895945,0.41950188448609554
Other Other 18-24,Other,Other,18-24,60726,151473,0.7138252300906225,0.5788953660705464,0.578050213569415
Other Other 25-34,Other,Other,25-34,28067,227248,0.8900691302900339,0.4829515088894431,0.48085791734140676
Other Other Other,Other,Other,Other,5781,256064,0.9779220531230308,0.5794845182494378,0.585705136215946
Total,,,Total,287735,1711547,0.8560808330190538,0.5457903095210744,0.5455155072782336
