Covariate,Level,Adjustment,Estimate,SE,df,t,p-value,95%CI lower,95%CI upper
ATE,ATE,Unadjusted,-0.000,0.001,1999280,-0.200,0.842,-0.003,0.002
ATE,ATE,PAP adjustment set,-0.001,0.001,1999277,-0.525,0.600,-0.003,0.002
ATE,ATE,Full adjustment set,-0.001,0.001,1999248,-0.436,0.663,-0.003,0.002
Age,18-39,Unadjusted,-0.000,0.001,1379015,-0.304,0.761,-0.003,0.002
Age,18-39,PAP adjustment set,-0.001,0.001,1379012,-0.682,0.495,-0.003,0.002
Age,18-39,Full adjustment set,-0.001,0.001,1378983,-0.493,0.622,-0.003,0.002
Age,40+,Unadjusted,0.000,0.003,620263,0.150,0.881,-0.006,0.007
Age,40+,PAP adjustment set,-0.000,0.003,620260,-0.162,0.871,-0.006,0.005
Age,40+,Full adjustment set,-0.000,0.003,620243,-0.059,0.953,-0.006,0.005
Gender,Female,Unadjusted,-0.001,0.002,978039,-0.821,0.411,-0.005,0.002
Gender,Female,PAP adjustment set,-0.001,0.002,978036,-0.812,0.417,-0.004,0.002
Gender,Female,Full adjustment set,-0.001,0.002,978016,-0.775,0.438,-0.004,0.002
Gender,Other,Unadjusted,0.001,0.002,1021239,0.408,0.683,-0.003,0.005
Gender,Other,PAP adjustment set,-0.000,0.002,1021236,-0.005,0.996,-0.004,0.004
Gender,Other,Full adjustment set,0.000,0.002,1021216,0.025,0.980,-0.004,0.004
Race,Black,Unadjusted,-0.001,0.003,233544,-0.218,0.827,-0.006,0.005
Race,Black,PAP adjustment set,-0.001,0.002,233541,-0.513,0.608,-0.006,0.004
Race,Black,Full adjustment set,-0.001,0.002,233524,-0.342,0.732,-0.006,0.004
Race,Latinx,Unadjusted,-0.003,0.004,179034,-0.818,0.413,-0.010,0.004
Race,Latinx,PAP adjustment set,-0.002,0.003,179031,-0.685,0.493,-0.009,0.004
Race,Latinx,Full adjustment set,-0.002,0.003,179014,-0.655,0.513,-0.008,0.004
Race,Other,Unadjusted,-0.003,0.009,55569,-0.369,0.712,-0.021,0.014
Race,Other,PAP adjustment set,-0.007,0.008,55566,-0.821,0.411,-0.023,0.009
Race,Other,Full adjustment set,-0.007,0.008,55549,-0.797,0.426,-0.023,0.010
Race,White,Unadjusted,0.000,0.002,1531127,0.085,0.932,-0.003,0.003
Race,White,PAP adjustment set,-0.000,0.001,1531124,-0.115,0.908,-0.003,0.003
Race,White,Full adjustment set,-0.000,0.001,1531107,-0.069,0.945,-0.003,0.003
Margin,Vote margin less than 3pp,Unadjusted,-0.000,0.002,1337055,-0.073,0.942,-0.004,0.003
Margin,Vote margin less than 3pp,PAP adjustment set,-0.001,0.002,1337052,-0.543,0.587,-0.004,0.002
Margin,Vote margin less than 3pp,Full adjustment set,-0.001,0.002,1337023,-0.488,0.625,-0.004,0.002
Margin,Vote margin more than 3pp,Unadjusted,-0.001,0.002,662223,-0.310,0.757,-0.005,0.004
Margin,Vote margin more than 3pp,PAP adjustment set,-0.000,0.002,662220,-0.096,0.924,-0.004,0.004
Margin,Vote margin more than 3pp,Full adjustment set,-0.000,0.002,662191,-0.019,0.985,-0.004,0.004
Partisanship,Democrat,Unadjusted,0.005,0.006,182943,0.939,0.348,-0.006,0.016
Partisanship,Democrat,PAP adjustment set,0.008,0.005,182940,1.585,0.113,-0.002,0.017
Partisanship,Democrat,Full adjustment set,0.007,0.005,182914,1.416,0.157,-0.003,0.016
Partisanship,Other,Unadjusted,-0.000,0.003,302389,-0.013,0.990,-0.007,0.007
Partisanship,Other,PAP adjustment set,-0.000,0.003,302386,-0.019,0.985,-0.006,0.006
Partisanship,Other,Full adjustment set,0.000,0.003,302360,0.037,0.970,-0.006,0.006
Partisanship,Republican,Unadjusted,-0.009,0.005,71873,-1.729,0.084,-0.019,0.001
Partisanship,Republican,PAP adjustment set,-0.010,0.005,71870,-2.003,0.045,-0.019,-0.000
Partisanship,Republican,Full adjustment set,-0.010,0.005,71844,-2.123,0.034,-0.020,-0.001
Partisanship,Unknown,Unadjusted,-0.000,0.002,1442069,-0.276,0.783,-0.004,0.003
Partisanship,Unknown,PAP adjustment set,-0.001,0.001,1442066,-0.901,0.367,-0.004,0.001
Partisanship,Unknown,Full adjustment set,-0.001,0.001,1442040,-0.783,0.434,-0.004,0.002
Trump support,30 to 40,Unadjusted,0.003,0.003,522916,1.274,0.203,-0.002,0.008
Trump support,30 to 40,PAP adjustment set,0.004,0.002,522913,1.613,0.107,-0.001,0.008
Trump support,30 to 40,Full adjustment set,0.004,0.002,522884,1.724,0.085,-0.001,0.008
Trump support,40 to 50,Unadjusted,-0.002,0.003,485369,-0.601,0.548,-0.007,0.004
Trump support,40 to 50,PAP adjustment set,-0.002,0.002,485366,-0.885,0.376,-0.007,0.003
Trump support,40 to 50,Full adjustment set,-0.002,0.002,485337,-0.818,0.413,-0.007,0.003
Trump support,50 to 60,Unadjusted,0.002,0.003,478331,0.640,0.522,-0.004,0.007
Trump support,50 to 60,PAP adjustment set,-0.001,0.003,478328,-0.296,0.767,-0.006,0.004
Trump support,50 to 60,Full adjustment set,-0.000,0.002,478299,-0.098,0.922,-0.005,0.005
Trump support,60 to 70,Unadjusted,-0.004,0.003,512658,-1.454,0.146,-0.010,0.001
Trump support,60 to 70,PAP adjustment set,-0.003,0.003,512655,-1.373,0.170,-0.008,0.001
Trump support,60 to 70,Full adjustment set,-0.004,0.003,512626,-1.477,0.140,-0.009,0.001
