Target,Outcome,Adjustment,Estimate,SE,df,t,p-value,95%CI lower,95%CI upper
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,Unadjusted,-0.010,0.003,1035574,-3.002,0.003,-0.017,-0.004
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,PAP adjustment set,-0.010,0.003,1035571,-3.005,0.003,-0.017,-0.004
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted early in 2020,Full adjustment set,-0.011,0.003,1035542,-3.151,0.002,-0.017,-0.004
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,Unadjusted,0.003,0.004,1035574,0.847,0.397,-0.004,0.010
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,PAP adjustment set,0.003,0.003,1035571,0.922,0.356,-0.003,0.010
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in person in 2020,Full adjustment set,0.003,0.003,1035542,0.890,0.374,-0.004,0.009
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,Unadjusted,-0.007,0.004,1035574,-1.933,0.053,-0.015,0.000
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,PAP adjustment set,-0.007,0.003,1035571,-2.093,0.036,-0.014,-0.000
Difference-in-CATEs TSS 60-70 versus TSS 30-40,Voted in 2020,Full adjustment set,-0.008,0.003,1035542,-2.268,0.023,-0.014,-0.001
Treatment*TSS interaction term from linear model,Voted early in 2020,Unadjusted,-0.028,0.011,1999278,-2.624,0.009,-0.049,-0.007
Treatment*TSS interaction term from linear model,Voted early in 2020,PAP adjustment set,-0.028,0.010,1999276,-2.712,0.007,-0.048,-0.008
Treatment*TSS interaction term from linear model,Voted early in 2020,Full adjustment set,-0.029,0.010,1999247,-2.840,0.005,-0.049,-0.009
Treatment*TSS interaction term from linear model,Voted in person in 2020,Unadjusted,0.010,0.011,1999278,0.897,0.370,-0.012,0.031
Treatment*TSS interaction term from linear model,Voted in person in 2020,PAP adjustment set,0.009,0.010,1999276,0.892,0.373,-0.011,0.029
Treatment*TSS interaction term from linear model,Voted in person in 2020,Full adjustment set,0.009,0.010,1999247,0.907,0.365,-0.011,0.029
Treatment*TSS interaction term from linear model,Voted in 2020,Unadjusted,-0.018,0.012,1999278,-1.542,0.123,-0.041,0.005
Treatment*TSS interaction term from linear model,Voted in 2020,PAP adjustment set,-0.019,0.010,1999276,-1.826,0.068,-0.039,0.001
Treatment*TSS interaction term from linear model,Voted in 2020,Full adjustment set,-0.020,0.010,1999247,-1.935,0.053,-0.040,0.000
