Covariate,Estimate,SE,df,t,p-value,p-value (BH correction),95%CI lower,95%CI upper
Party: Democrat,-0.001,0.001,1999280,-1.211,0.226,0.810,-0.003,0.001
Party: Republican,-0.000,0.000,1999280,-0.414,0.679,0.944,-0.001,0.001
Party: Unknown,0.000,0.001,1999280,0.091,0.927,0.944,-0.002,0.003
Party: Other,0.001,0.001,1999280,1.257,0.209,0.810,-0.001,0.003
TSS: 30-40,0.001,0.001,1999280,1.219,0.223,0.810,-0.001,0.004
TSS: 40-50,0.002,0.001,1999280,1.385,0.166,0.810,-0.001,0.004
TSS: 50-60,0.000,0.001,1999280,0.229,0.819,0.944,-0.002,0.003
TSS: 60-70,-0.003,0.001,1999280,-2.609,0.009,0.200,-0.006,-0.001
Trump support score / 100,-0.001,0.000,1999280,-2.260,0.024,0.262,-0.001,-0.000
Turnout score / 100,0.000,0.001,1999280,0.707,0.480,0.944,-0.001,0.002
Ideology score / 100,0.000,0.000,1999280,0.070,0.944,0.944,-0.001,0.001
Partisanship score / 100,0.000,0.001,1999280,0.489,0.625,0.944,-0.001,0.002
Voted in 2000,-0.000,0.001,1999280,-0.072,0.943,0.944,-0.002,0.002
Voted in 2002,0.000,0.001,1999280,0.296,0.767,0.944,-0.001,0.002
Voted in 2004,0.000,0.001,1999280,0.161,0.872,0.944,-0.002,0.002
Voted in 2006,-0.000,0.001,1999280,-0.215,0.829,0.944,-0.002,0.001
Voted in 2008,-0.001,0.001,1999280,-0.761,0.447,0.944,-0.003,0.001
Voted in 2010,-0.001,0.001,1999280,-0.690,0.490,0.944,-0.002,0.001
Voted in 2012,0.000,0.001,1999280,0.252,0.801,0.944,-0.002,0.003
Voted in 2014,-0.001,0.001,1999280,-1.132,0.258,0.810,-0.003,0.001
Voted in 2016,-0.000,0.001,1999280,-0.279,0.780,0.944,-0.003,0.002
Voted in 2018,0.001,0.001,1999280,0.881,0.378,0.944,-0.001,0.004
