quantity,value
n_total,1999282
n_control,287735
n_treatment,1711547
n_dic_sample,1035578
tss_min,30
tss_max,70
pts_min,20
pts_max,99.2
num_times_voted_max,3
n_strata,18
interval_level,94.99999999999997
ate_pap_estimate,-6.37269236894564e-4
ate_pap_se,0.0012144335131540889
ate_pap_t,-0.52474608942524
ate_pap_df,1999277
ate_pap_p,0.5997597710163942
ate_pap_ci_low,-0.0030175166252996498
ate_pap_ci_high,0.0017429781515105216
tost_p_lower,0.013208777428924156
tost_p_upper,5.386695603801208e-4
equivalence_bound,0.0033333333333333335
cate_biden_estimate,0.0036308083589336572
cate_biden_se,0.0022512413063476076
cate_biden_t,1.6128028340170455
cate_biden_df,522913
cate_biden_p,0.10678795367514947
cate_biden_ci_low,-7.815537351249209e-4
cate_biden_ci_high,0.008043170452992236
cate_trump_estimate,-0.0034852553358620452
cate_trump_se,0.0025380550157192367
cate_trump_t,-1.3731992861763833
cate_trump_df,512655
cate_trump_p,0.1696910021310044
cate_trump_ci_low,-0.008459763502132876
cate_trump_ci_high,0.001489252830408786
dic_estimate,-0.0071002903166683395
dic_se,0.0033920666735045095
dic_t,-2.0932048217474106
dic_df,1035571
dic_p,0.03633111716540424
dic_ci_low,-0.013748626600402493
dic_ci_high,-4.5195403293418583e-4
cate_republican_estimate,-0.009848866727910511
cate_republican_se,0.004917216205006942
cate_democrat_estimate,0.007732878835930745
cate_democrat_se,0.004879099183163365
equality_f,20.99498107120079
equality_num_df,1
equality_den_df,1035571
equality_p,4.605416948859714e-6
omnibus_f,1.0266099890561224
omnibus_num_df,18
omnibus_den_df,1999246
omnibus_p,0.424544117166074
